name,prompt,negative_prompt
-------< ⑤ Utility >-------,,
✨❺ Pony Prompt Base,"source_pony, score_9, {prompt}",
🚫❺ Default Negative,,"lowres, bad anatomy, text, error, cropped, worst quality, low quality, jpeg artifacts, signature, watermark, username, blurry"
🚫⑤ Watercolor/Brush Strokes,,"watercolor painting, brush strokes"
--------< ⑤ Styles >-------,,
🐴❺ G5,"g5, my little pony: a new generation, 3d, show accurate, hooves, fuzzy, detailed",outline
🐴❺ TYT,"g5, my little pony: tell your tale, vector, hooves",
🐴❺ Show Accurate,"show accurate, vector",
📸⑤ IRL Ponies (outdoors),"photo, irl, ponies in real life, realistic, fur, detailed, beautiful, show accurate, outdoors","outline, source filmmaker, traditional art, painting, figurine, plushie, wrinkles, vector"
📸⑤ IRL Ponies (indoors),"photo, irl, ponies in real life, realistic, fur, detailed, beautiful, show accurate, indoors","outline, source filmmaker, traditional art, painting, figurine, plushie, wrinkles, vector"
🨅 ❺ Realistic Figurine,"figurine, kotobukiya, photo",multiple views
🧸❺ Realistic Pluhsie,"plushie, photo, irl",multiple views
🪟⑤ Stained Glass,"stained glass, (mural:1.3), (mosaic:1.5), photo, irl, flat colors",
🖉 ❺ Colored Pencil Drawing,"traditional art, colored pencil drawing, pencil drawing","frame, photo, passepartout"
🖉 ❺ Pencil Sketch,"traditional art, pencil drawing, sketch, lineart, grayscale, monochrome","colored, color edit"
🖋❺ Lineart,"digital art, lineart, monochrome","watercolor painting, brush strokes"
🖍⑤ Marker Drawing,"traditional art, marker drawing","photo, passepartout"
📙❺ Comic Book(-ish),"official, idw, traditional art, andy you magnificent bastard, marker drawing","photo, passepartout"
🖼❺ Watercolor Painting,"traditional art, watercolor painting, painting",
🖼⑤ Oil Painting,"traditional art, oil painting, painting",wet
🖼❺ Surrealistic Painting,"modern art, surreal, traditional art, abstract background, painting",frame
🖽 ❺ Minimalistic Lineless,"minimalist, modern art, vector, lineless, absurd resolution",
